,id,name,corp_id,corp_name,at_present_fouds_id,at_present_fouds_name,job_duration_days,at_present_total_size,at_present_best_profit,at_present_fouds_num
1267,30675701,潘永昌,80068180,诺德基金,"006887,006888,007737","诺德新生活混合A,诺德新生活混合C,诺德研发创新100",658,665000000.0,78.29,3
1268,30132625,蒲延杰,80000200,中银证券,"004807,004808,009728,009729,010170,010171,011448,011449,011801,011802","中银证券安弘债券A,中银证券安弘债券C,中银证券安泰债券A,中银证券安泰债券C,中银证券鑫瑞6个月持有A,中银证券鑫瑞6个月持有C,中银证券均衡成长混合A,中银证券均衡成长混合C,中银证券盈瑞混合A,中银证券盈瑞混合C",1554,2296000000.0,33.04,10
1269,30428548,裴禹翔,80049689,诺安基金,"000235,000538,001744,002053,002067,005547,005548,005655,320008,320009,320021","诺安稳固收益一年定开债,诺安优势行业混合A,诺安进取回报混合,诺安优势行业混合C,诺安精选回报混合,诺安圆鼎定开债,诺安鑫享定开债发起式,诺安浙享定开债券,诺安增利债券A,诺安增利债券B,诺安双利债券发起",1955,9971000000.0,79.66,11
1270,30588103,潘中宁,80000222,华夏基金,"005826,008308","华夏潜龙精选股票,华夏见龙精选混合",991,1145000000.0,127.53,2
1271,30706658,彭震威,80065113,中欧基金,"004993,004994","中欧可转债债券A,中欧可转债债券C",336,1847000000.0,0.43,2
1272,30676325,彭紫云,80065990,建信基金,"000207,000208,000270,001948,001949,003319,003320,530008,530009,530017,530021,531008,531009,531017,531021","建信双债增强债券A,建信双债增强债券C,建信灵活配置混合,建信稳定丰利债券A,建信稳定丰利债券C,建信瑞丰添利混合A,建信瑞丰添利混合C,建信稳定增利债券C,建信收益增强债券A,建信双息红利债券A,建信纯债债券A,建信稳定增利债券A,建信收益增强债券C,建信双息红利债券C,建信纯债债券C",699,4376000000.0,8.56,15
1273,30692170,彭振中,80000225,大成基金,"008751,008752,011940,011941","大成全球美元债(QDII)A人民币,大成全球美元债(QDII)C人民币,大成全球美元债(QDII)A美元,大成全球美元债(QDII)C美元",446,271000000.0,7.32,4
1274,30041301,曲波,80000222,华夏基金,"000343,000645,001374,002894,002895,002936,002937,003003,004056,004201,004251,011547,511650","华夏财富宝货币A,华夏薪金宝货币,华夏现金增利货币B,华夏天利货币A,华夏天利货币B,华夏沃利货币A,华夏沃利货币B,华夏现金增利货币A/E,华夏惠利货币A,华夏财富宝货币B,华夏惠利货币B,华夏惠利货币C,华夏快线交易型货币",4896,253678000000.00003,54.97,13
1275,30729358,邱博文,80184574,上海海通证券资产管理,"850003,855001","海通海升六个月持有债券A,海通海升六个月持有债券C",56,848000000.0,0.52,2
1276,30507020,仇秉则,80498278,汇安基金,"007315,007609,007610,008529,008530,009133,009134,009305,010270,011991,011992","汇安嘉盈一年持有期债券A,汇安嘉诚债券A,汇安嘉诚债券C,汇安信利债券A,汇安信利债券C,汇安嘉利混合A,汇安嘉利混合C,汇安恒利39个月定开纯债债券,汇安嘉盈一年持有期债券C,汇安泓利一年持有期混合A,汇安泓利一年持有期混合C",1655,8248999999.999999,65.33,11
1277,30132007,瞿灿,80000235,银华基金,"002491,004087,008211,009935,009936,161823,161824","银华添益定开债,银华添润定期开放债券,银华永盛债券,银华长江经济带主题债券A,银华长江经济带主题债券C,银华永兴纯债债券(LOF)A,银华永兴纯债债券(LOF)C",2212,3818000000.0,28.25,7
1278,30165879,秦昌贵,80404004,长江证券(上海),"006911,006957,010801,010802,011254,011255","长江量化匠心甄选A,长江量化匠心甄选C,长江量化消费精选股票A,长江量化消费精选股票C,长江量化科技精选一个月滚动持有股票A,长江量化科技精选一个月滚动持有股票C",596,170000000.0,31.26,6
1279,30662513,邱丹,10000018,中信证券,"900019,900039","中信证券六个月债券A,中信证券六个月债券C",662,689000000.0,6.04,2
1280,30063379,丘栋荣,80560391,中庚基金,"006551,007130,007497,011174","中庚价值领航混合,中庚小盘价值股票,中庚价值灵动灵活配置混合,中庚价值品质一年持有期混合",2228,9412000000.0,200.75,4
1281,30552206,秦锋,80000235,银华基金,"005112,009542","银华中证全指医药卫生,银华富利精选混合",1355,5752000000.0,125.5,2
1282,30059214,綦缚鹏,80000233,国投瑞银基金,"001266,121010,161222","国投瑞银招财混合,国投瑞银瑞源灵活配置混合,国投瑞银瑞利混合(LOF)",4070,337000000.0,116.49,3
1283,30111236,祁广东,80000229,易方达基金,"007360,007361,007362,007363","易方达中短期美元债(QDII)A人民币,易方达中短期美元债(QDII)C人民币,易方达中短期美元债(QDII)A美元现汇,易方达中短期美元债(QDII)C美元现汇",740,702000000.0,9.18,4
1284,30079670,祁禾,80000229,易方达基金,"001373,001856,009049,011300,011301","易方达新丝路灵活配置混合,易方达环保主题混合,易方达高端制造混合,易方达智造优势混合A,易方达智造优势混合C",1265,20599000000.0,199.72,5
1285,30698306,曲华锋,80042861,东方基金,"001384,001385,004005,004006","东方新思路混合A,东方新思路混合C,东方民丰回报赢安混合A,东方民丰回报赢安混合C",410,401999999.99999994,108.12,4
1286,30283066,邱红丽,80046614,中海基金,"001574,398011,398031","中海混改红利混合,中海分红增利混合,中海蓝筹混合",2643,604000000.0,105.28,3
1287,30664734,钱厚翔,80000220,南方基金,"001113,004344,008056,008057","南方大数据100A,南方大数据100C,南方上证50增强A,南方上证50增强C",788,2657000000.0,67.78,4
1288,30347548,曲径,80065113,中欧基金,"001884,001980,001990,004234,166007","中欧互通精选混合E,中欧量化驱动混合,中欧数据挖掘混合A,中欧数据挖掘混合C,中欧互通精选混合A",2219,1894000000.0000002,128.92,5
1289,30349236,钱晶,80168726,平安基金,"005868,005869,009012,009013,159960,159964,512360,512390,512930,515700,516760,516820","平安MSCI中国A股ETF联接A,平安MSCI中国A股ETF联接C,平安创业板ETF联接A,平安创业板ETF联接C,平安港股通恒生中国企业ETF,平安创业板ETF,平安MSCI中国A股国际ETF,平安MSCI中国A股ETF,平安人工智能ETF,平安中证新能源汽车产业ETF,平安中证畜牧养殖ETF,平安医药及医疗器械创新ETF",2059,7439000000.0,146.08,12
1290,30314120,邱杰,80280038,前海开源基金,"001103,001178,002407,006216,006217,006775,008188,011287","前海开源工业革命4.0混合,前海开源再融资股票,前海开源恒远灵活配置混合,前海开源价值成长混合A,前海开源价值成长混合C,前海开源优质成长混合,前海开源稳健增长三年混合,前海开源聚慧三年持有混合",2344,6914000000.0,127.99,8
1291,30358029,邱骏,80385906,红土创新基金,"004967,004968,005150,005151,009457,009458","红土创新货币A,红土创新货币B,红土创新优淳货币A,红土创新优淳货币B,红土创新纯债A,红土创新纯债C",1575,6777000000.0,6.85,6
1292,30444047,邱璟旻,80000248,广发基金,"007750,010025,010134,010595,010596,011425,011426,270005,270050","广发优势增长股票,广发聚丰混合C,广发新经济混合C,广发成长精选混合A,广发成长精选混合C,广发优势成长股票A,广发优势成长股票C,广发聚丰混合A,广发新经济混合A",1881,24243000000.0,213.74,9
1293,30347619,祁洁萍,80965167,淳厚基金,"007930,007931,008587,008588,009434,009435,009583,010258,010259,010513,010514,010627","淳厚稳鑫债券A,淳厚稳鑫债券C,淳厚中短债债券A,淳厚中短债债券C,淳厚稳嘉债券A,淳厚稳嘉债券C,淳厚安裕87个月定开债,淳厚稳悦债券A,淳厚稳悦债券C,淳厚益加债券A,淳厚益加债券C,淳厚安心87个月定开债",1743,17219000000.0,194.88,12
